Sample,location,Date,Month,Depth,Cyano,Green,Brown,PE_Type,tot_chla,TDFe,SRP,TP,NO3,NH4,Dissolved.Oxygen,Secchi
1,East Okoboji,11-May,May,2m,0,0,6.3,2.3,8.6,12.31086042,0.244120599,0.437168,5.104699894,10.33433999,12.89,2.158
2,East Okoboji,23-May,May,2m,2.00,1.00,6.75,4.30,14.05,14.94314621,0.202695753,0.550165,4.069481034,11.22677005,11.2325,2.641
3,East Okoboji,11-Jun,June,2m,1.30,1.20,5.40,0.70,8.6,12.52574089,0.506487825,1.615238,8.864805177,6.3779001,5.645,2.3
4,East Okoboji,11-Jul,July,2m,11.17,0.00,14.10,4.18,29.45,6.89855851,0.196924739,1.408189,7.079945074,6.449294504,9.4825,1.063
5,East Okoboji,26-Jul,July,2m,43.74,0.00,13.16,8.78,65.68,6.89855851,0.319257312,2.62435,3.450729532,23.61964869,8.1025,0.753
6,East Okoboji,15-Aug,August,2m,17.30,0.00,11.33,4.80,33.43333333,8.819052735,0.653090402,1.851659,4.854819479,10.16180352,7.8125,0.89
7,East Okoboji,9-Sep,September,2m,20.26,0.00,3.20,4.36,27.82,1,0.717082736,2.354041,12.08945243,7.948576991,8.2975,1.021
8,East Okoboji,7-Oct,October,2m,41.38,0.42,1.10,9.55,52.44166667,0.888620288,0.325834922,3.337459,8.150861136,6.770569323,8.2175,0.644
9,East Okoboji,10-May,May,6m,0,0,7.2,3.4,10.6,13.95827737,0.199405333,0.372057,2.677290154,0.07,12.01,1.534
10,East Okoboji,23-May,May,6m,0.30,1.10,2.30,1.20,4.9,15.64150774,0.256588141,0.495968,1.749162901,3.626835729,9.2625,3.212
11,East Okoboji,11-Jun,June,6m,1.45,2.90,7.15,3.30,14.8,11.49610529,0.432995514,1.127968,1.39933032,0.07,7.7275,1.6
12,East Okoboji,11-Jul,July,6m,13.10,0.00,9.70,5.40,28.2,7.270122661,0.320281835,1.34417,1.699186818,1.649210735,8.6525,1.524
